name,line
HORATIO,"I'll cross it, though it blast me. Stay, illusion!"
HORATIO,"If thou hast any sound, or use of voice,"
HORATIO,Speak to me:
HORATIO,"If there be any good thing to be done,"
HORATIO,"That may to thee do ease and grace to me,"
HORATIO,Speak to me:
HORATIO,Cock crows
HORATIO,"If thou art privy to thy country's fate,"
HORATIO,"Which, happily, foreknowing may avoid, O, speak!"
HORATIO,Or if thou hast uphoarded in thy life
HORATIO,"Extorted treasure in the womb of earth,"
HORATIO,"For which, they say, you spirits oft walk in death,"
HORATIO,"Speak of it: stay, and speak! Stop it, Marcellus."
MARCELLUS,Shall I strike at it with my partisan?
HORATIO,"Do, if it will not stand."
BERNARDO,'Tis here!
HORATIO,'Tis here!
MARCELLUS,'Tis gone!
MARCELLUS,Exit Ghost
MARCELLUS,"We do it wrong, being so majestical,"
MARCELLUS,"To offer it the show of violence,"
MARCELLUS,"For it is, as the air, invulnerable,"
MARCELLUS,And our vain blows malicious mockery.
BERNARDO,"It was about to speak, when the cock crew."
HORATIO,And then it started like a guilty thing
HORATIO,"Upon a fearful summons. I have heard,"
HORATIO,"The cock, that is the trumpet to the morn,"
HORATIO,Doth with his lofty and shrill-sounding throat
HORATIO,"Awake the god of day, and, at his warning,"
HORATIO,"Whether in sea or fire, in earth or air,"
HORATIO,The extravagant and erring spirit hies
HORATIO,To his confine: and of the truth herein
HORATIO,This present object made probation.
MARCELLUS,It faded on the crowing of the cock.
MARCELLUS,Some say that ever 'gainst that season comes
MARCELLUS,"Wherein our Saviour's birth is celebrated,"
MARCELLUS,The bird of dawning singeth all night long:
MARCELLUS,"And then, they say, no spirit dares stir abroad,"
MARCELLUS,"The nights are wholesome, then no planets strike,"
MARCELLUS,"No fairy takes, nor witch hath power to charm,"
MARCELLUS,So hallow'd and so gracious is the time.
HORATIO,So have I heard and do in part believe it.
HORATIO,"But, look, the morn, in russet mantle clad,"
HORATIO,Walks o'er the dew of yon high eastward hill:
HORATIO,"Break we our watch up, and by my advice,"
HORATIO,Let us impart what we have seen to-night
HORATIO,"Unto young Hamlet, for, upon my life,"
HORATIO,"This spirit, dumb to us, will speak to him."
HORATIO,"Do you consent we shall acquaint him with it,"
HORATIO,"As needful in our loves, fitting our duty?"
MARCELLUS,"Let's do't, I pray, and I this morning know"
MARCELLUS,Where we shall find him most conveniently.
MARCELLUS,Exeunt
MARCELLUS,SCENE II. A room of state in the castle.
MARCELLUS,"Enter KING CLAUDIUS, QUEEN GERTRUDE, HAMLET,  POLONIUS, LAERTES, VOLTIMAND, CORNELIUS, Lords, and Attendants"
KING CLAUDIUS,Though yet of Hamlet our dear brother's death
KING CLAUDIUS,"The memory be green, and that it us befitted"
KING CLAUDIUS,To bear our hearts in grief and our whole kingdom
KING CLAUDIUS,"To be contracted in one brow of woe,"
KING CLAUDIUS,Yet so far hath discretion fought with nature
KING CLAUDIUS,"That we with wisest sorrow think on him,"
KING CLAUDIUS,Together with remembrance of ourselves.
KING CLAUDIUS,"Therefore our sometime sister, now our queen,"
KING CLAUDIUS,"The imperial jointress to this warlike state,"
KING CLAUDIUS,"Have we, as 'twere with a defeated joy,--"
KING CLAUDIUS,"With an auspicious and a dropping eye,"
KING CLAUDIUS,"With mirth in funeral and with dirge in marriage,"
KING CLAUDIUS,"In equal scale weighing delight and dole,--"
KING CLAUDIUS,Taken to wife: nor have we herein barr'd
KING CLAUDIUS,"Your better wisdoms, which have freely gone"
KING CLAUDIUS,"With this affair along. For all, our thanks."
KING CLAUDIUS,"Now follows, that you know, young Fortinbras,"
KING CLAUDIUS,"Holding a weak supposal of our worth,"
KING CLAUDIUS,Or thinking by our late dear brother's death
